id,name,street_address,postal_code,latitude,longitude,city_id,stars,review_count,is_open
mweuropeande280521827804,M&W European Deli and Market,"2676 Bayshore Blvd, Ste L",34698,28.0521382,-82.7804271,119,3.5,12,1
mycrazyuncle299723902083,My Crazy Uncle Seafood,2305 Hickory Ave,70123,29.972349,-90.208359,474,5.0,12,1
mydelibutton283523826985,My Deli Button,13416 US Hwy 19,34667,28.352311,-82.698508,327,4.5,17,1
mygreekcorne280498826983,My Greek Corner,"3150 Tampa Rd, Ste 7",34677,28.049869,-82.698361,261,4.5,73,0
mykitchenxxx281384824625,My Kitchen,18215 US 41 Service Rd,33549,28.1384907,-82.4625825,159,4.0,9,1
mykitchenxxx401979747289,My Kitchen,1935 S Broad St,8610,40.1979004,-74.7289289,659,2.5,5,0
mykonosxxxxx281554827599,Mykonos,628 Dodecanese Blvd,34689,28.1554136,-82.7599114,164,4.5,410,1
mymammasbarb278745823290,My Mamma's Bar-B-Q & Gourmet Sauces,7415 US Hwy 301 S,33578,27.8745433,-82.3290807,26,4.0,5,1
mypetspridep281981826315,My Pet's Pride Pride Premium Raw Cat Food,11108 Challenger Ave,33556,28.1981895,-82.6315465,376,1.5,6,1
mysticfishse280682827247,Mystic Fish Seafood Grill & Bar,3253 Tampa Rd,34684,28.0682737,-82.7247772,61,4.5,370,1
mystifyvapor280113826099,Mystify Vapor,11246 W Hillsborough Ave,33635,28.0113584,-82.6099075,3,5.0,8,1
mysugarpiexx396332861216,My Sugar Pie,"1251 US 31 N, Unit P170A",46142,39.6332924,-86.1216922,844,4.5,12,0
mythosgreekt279044827224,Mythos Greek Taverna,"13575 58th St N, Ste 111",33760,27.9044696,-82.7224331,21,4.0,34,0
myyogurtcafe277743826327,My Yogurt Cafe,234 Beach Dr NE,33701,27.7743858,-82.6327376,5,3.0,15,0
naanbotichai277609826627,Naan Boti & Chai Shai,908 22nd St S,33712,27.76091,-82.6627542,5,4.0,22,1
nabruzzitrat280696826297,Nabruzzi Trattoria,11653 Countryway Blvd,33588,28.0696172,-82.6297935,173,4.5,62,0
nabruzzitrat281276825414,Nabruzzi Trattoria,6062 Van Dyke Rd,33558,28.1276495,-82.5414392,159,4.5,398,1
nachmansseaf278283828297,Nachman's Seafood Market & Smokehouse,17811 Gulf Blvd,33708,27.828307,-82.8297917,664,4.5,27,1
nagateaxxxxx280484823941,Naga Tea,10950 N 56th St,33617,28.0484523,-82.3941699,156,4.5,185,1
nahdogsvegan277723826473,Nah Dogs Vegan Hot Dog Cart,919 1st Ave N,33705,27.772302,-82.6473976,5,5.0,7,1
nakayajapane279423824630,Nakaya Japanese Bistro,"301 W Platt St, Unit C",33606,27.9423006,-82.4630034,3,4.0,54,0
nakedfarmerx279431824473,Naked Farmer,615 Channelside Dr,33602,27.9431707,-82.4473799,3,4.5,20,1
nakedfitfood279946824512,Naked Fitfoods,5214 North Nebraska Ave,33603,27.9946658,-82.4512645,3,4.0,61,0
namasteindia280048827309,Namaste India Groceries and Vegetables,25030 US Hwy 19 N,33763,28.0048125,-82.7309172,21,3.0,6,0
namssushixxx282181826966,Nam's Sushi 54,7119 Florida 54,34653,28.218174,-82.69665,228,4.5,116,1
namvietvietn278459827005,Nam Viet Vietnamese Cuisine,8150 49th St N,33781,27.84598,-82.7005,76,4.0,6,1
nanasdayligh395865860776,Nana's Daylight Donuts,"2245 Sheek Rd, Ste A",46143,39.586567,-86.0776305,844,4.5,7,1
nanasrestaur281234827417,Nana's Restaurant,857 E Klosterman Rd,34689,28.1234232,-82.7417272,164,4.5,6,0
nancyshomeco281235824634,Nancy's Home Cookin',17420 US Hwy 41,33549,28.12354,-82.463408,159,3.5,29,1
nancysorigin281235824633,Nancy's Original,17420 U S 41,33549,28.1235367,-82.4633843,159,4.0,5,1
nanissandwic280012824510,Nani's Sandwiches,5921 N Nebraska Ave,33604,28.00123,-82.451003,3,4.0,8,0
nantucketbuc279902826927,Nantucket Bucket,519 2nd St S,34695,27.990211,-82.692724,237,3.5,44,0
napoletanobr399271753335,Napoletano Brothers,186 Saxer Ave,19064,39.9271737,-75.3335388,374,5.0,30,1
nataliesrest283294826785,Natalie's Restaurant,8228 State Rt 52,34667,28.329407,-82.6785869,327,4.0,27,1
nathansfamou279461824586,Nathan's Famous Hot Dogs,"200 N Tampa St, Ste G-115",33602,27.946144,-82.458664,3,2.0,12,0
nationalbake281538827601,National Bakery,451 Athens St,34689,28.1538543,-82.760118,164,4.5,19,1
naturaldetox280330824118,Natural Detox Nutrition Shoppe,"4202 E Busch Blvd, Ste 1",33617,28.033024,-82.411821,3,3.5,5,1
naturalmarke280473825168,Natural Market,4441 Gunn Hwy,33618,28.0473268,-82.5168714,3,4.0,19,1
naturescafep279845825688,Nature's Cafe & Pantry,"5831 Memorial Hwy, Ste A",33615,27.9845472,-82.5688359,3,4.5,17,0
naturesfoodp279644827862,Nature's Food Patch Market & Café,1225 Cleveland St,33755,27.9644465,-82.786234,21,4.5,177,1
naturesfoodp280140827881,Nature's Food Patch Market & Café,"966 Douglas Ave, Ste 106",34698,28.0140612,-82.7881763,119,4.5,12,1
naturesownba279124824016,Nature's Own Bakery Outlet,3902 S 50th St,33619,27.9124164,-82.4016194,3,4.5,5,1
naturestable277690826344,Natures Table of City Center,100 2nd Ave S,33701,27.7690848,-82.6344603,5,4.0,15,1
naturestable278928826672,Nature's Table,900 Carillon Pkwy,33716,27.8928208,-82.6672214,5,4.0,12,1
naturestable278972827121,Natures Table,13805 58th St N,33760,27.8972653,-82.7121882,21,4.5,11,1
naturestable279360824761,Nature's Table,1622 W Snow Ave,33606,27.9360042,-82.4761111,3,3.5,27,0
naturestable279476824594,Natures Table,"400 N Tampa St, Ste 120",33602,27.9476094,-82.4594637,3,4.0,33,1
