id,category_id
alvarezauthe280591824590,14
alvarezauthe282699824808,32
alvarezauthe282699824808,52
alvarezauthe282699824808,14
amanafoodmar280321824070,48
amarettorist279744824865,19
amaritthaire280615827086,4
amazoncevich280336824073,17
amazoncevich280336824073,52
amazonfreshx402225751385,48
amcclassicpa281164827411,37
amdproducexx278940827671,48
americaloves279906823626,37
americanasdi281844827395,37
americanhone275997825124,48
americanlegi280236827883,37
americanpizz279819822952,26
americanpizz279819822952,27
americansoci279387824547,37
amiciitalian279164828070,26
amiciitalian279164828070,19
amicimilanox402108747461,26
amicimilanox402108747461,19
amicipizzaii282373826686,26
amicipizzaii282373826686,19
amicipizzaxx282273823759,26
amicipizzaxx282273823759,19
amishcountry279147828014,48
amishcreamer278026827988,48
amliquorxxxx279227823798,48
amliquorxxxx280323826462,48
amliquorxxxx280756827376,48
amnesiapubxx284937825416,27
amoralamexic281547827602,14
amorebakerya299163900648,48
amoremioxxxx280098824840,26
amoremioxxxx280098824840,19
amorepizzeri279676827663,19
amorepizzeri279676827663,26
amorepizzeri279676827663,27
amoresfreshs280428825041,26
amoresfreshs280428825041,27
amoresfreshs281781826973,26
amoresfreshs281781826973,19
amuniwoodfir279268824538,26
amyschinaone279408827738,1
anaarbargril279273825132,9
anadeliciasb279989825822,48
anadeliciasb279989825822,18
ananibistrox277389827075,48
anasmexicanr277122823017,14
anatoliadeli280196827406,48
anayasmexica396344861569,14
anchorandbri279411824542,28
anchorsbaran282324827317,37
anclotebrewx281553827607,48
anclotebrewx281553827607,28
andersonroad280022825280,37
androsgreekg281461827548,49
androsgreekg281461827548,26
androsgreekg281461827548,47
andysdinerxx399234753170,37
andysfrozenc386250903345,48
andysicecrea276914827204,48
andysontheba280419826527,18
anecdotebrew278818828501,48
angelaspizza281299825749,26
angelcakesxx280815827672,48
angelinasbak400958748588,48
angelinasfin278763822226,19
angelinasita279373822853,26
angelinasita279373822853,19
angelinasita281806824642,26
angelinasita281806824642,19
angelitosrot280688824437,18
angelitosrot280688824437,19
angelitosrot280688824437,52
angelosdelic280097825055,18
angelospizza281970827408,26
angelospizza281970827408,19
angelospizza281970827408,28
angelosxxxxx277717826408,26
angelosxxxxx277717826408,19
angiesgrillx279683827655,37
angiesmarket277795826404,37
angiespizzax282502827190,19
angiespizzax282502827190,26
angiespizzax282502827190,27
angiesrestau279654827960,37
angithiindia280535824364,8
angithiindia280535824364,7
angrychairbr280051824593,48
angrypeppert278574828305,37
angrypepperw278117827928,48
angrypepperw278117827928,18
angrypepperw278117827928,14
aniseglobalg279498824602,37
anitaliandel279360827309,19
anjustpetexx277980826548,10
anjustpetexx277980826548,3
annasrestaur280203821573,37
annastellaca277753826331,37
annatawinexx277756826323,37
annieteahous279382823163,48
anotherbroke279050825066,37
anotherbroke280140827098,37
anthonyscoal279271825063,26
anthonyscoal279271825063,19
anthonyscoal279381823157,26
anthonyscoal279381823157,19
anthonyscoal280135827098,48
anthonyscoal280135827098,19
anthonyscoal280135827098,26
anthonyscoal280135827098,27
anthonyscoal280644825059,26
anthonyscoal399142753478,26
anthonyscoal399142753478,19
anthonysdeli279296827962,48
anthonysdeli279296827962,49
anthonysdeli279296827962,26
anthonysdeli279296827962,19
anthonysital281880826690,48
anthonysital281880826690,26
anthonysital281880826690,19
anthonysnewy280598825416,26
anthonyspizz401905747114,26
anthonysxxxx399450753478,19
antibreweryx280224827847,48
antoinesfamo299141900461,48
antojitosdon279968827753,14
antojitoslat279664824831,17
antojitoslat279664824831,18
antojitoslat279664824831,52
antojitoslat280083824841,52
antoniettipi282800826954,48
antoniettipi282800826954,26
antoniettipi282800826954,19
antoniospast278944826710,19
antoniospast280521823930,19
anytimepizza277977826804,26
apieceofcake279861825701,48
apieceofcake280108826105,48
apieceofcake396206861123,48
apnabazarxxx280534824326,48
apnabazarxxx280556824402,48
apnabazarxxx280556824402,7
apnakababhou281619823533,8
apnakababhou281619823533,54
apnakababhou281619823533,7
apollobeachd277647823954,37
apollofamily277647823955,26
apollomeatsx277706823949,48
apollosbistr277761824042,32
apollosbistr277761824042,48
apollosbistr277761824042,28
applebeesgri277910823406,27
applebeesgri277982827280,27
applebeesgri278151826389,27
applebeesgri278387826880,37
applebeesgri278448827947,48
applebeesgri278448827947,27
applebeesgri278716827619,37
applebeesgri278936825211,27
applebeesgri279167827335,27
applebeesgri279243823161,37
applebeesgri279373822550,27
applebeesgri279811827083,37
applebeesgri279956825097,37
applebeesgri280253821487,37
applebeesgri280353826565,37
applebeesgri280454825833,37
applebeesgri280464827390,27
applebeesgri280539823916,27
applebeesgri280874825045,37
applebeesgri282367823458,37
applebeesgri282816826764,37
applebeesgri284343825425,27
applebeesgri284960825960,37
applebeesgri364901868801,37
applebeesgri396035861598,37
applebeesgri396309861213,27
appleberries279992821386,48
appleberries279992821386,47
appstappssaf280110827079,27
appstappssaf280110827079,14
appstappstri281933826380,14
appstappsxxx281016826926,37
apqualitypro280402824811,48
aproposxxxxx277712826385,37
aquafinzxxxx281900825404,28
aquaknoxxxxx279684825657,28
aquaprimexxx278797828499,28
aquasportsba284537825930,48
aquasportsba284537825930,10
aquavitaeita280410826645,19
aquaxxxxxxxx279681825654,28
arbysroastbe280695824328,37
arbysxxxxxxx278295826800,37
arbysxxxxxxx278538823273,37
arbysxxxxxxx278842827876,37
arbysxxxxxxx278932827298,37
arbysxxxxxxx279383822262,48
arbysxxxxxxx279608827576,37
arbysxxxxxxx279967823900,37
arbysxxxxxxx280250825392,37
arbysxxxxxxx280349821057,37
arbysxxxxxxx280474827378,37
arbysxxxxxxx281442827411,37
arbysxxxxxxx281716823561,37
arbysxxxxxxx281852824389,37
arbysxxxxxxx282175826964,37
arbysxxxxxxx282776826752,37
arbysxxxxxxx283091826992,37
arbysxxxxxxx284490826332,37
arbysxxxxxxx362949867017,37
arbysxxxxxxx395850861008,37
arbysxxxxxxx396173861579,48
archersmeatp396131861061,48
arcoiriscafe279741824886,18
arcoirisrest279664824992,18
arcoirisrest279664824992,19
arcticicecre402459747590,48
arenadinerxx402069747140,48
arepaexpress279219823702,17
arepaexpress279219823702,52
arepamarketp280498824266,48
arepamarketp280498824266,17
arepamarketp280498824266,52
arepamiaxxxx282228823816,17
arepamiaxxxx282228823816,52
arepasdondef278270823308,17
arepasdondef278270823308,52
arepitasxxxx280573824300,9
arepitasxxxx280573824300,17
arepitasxxxx280573824300,19
arepitasxxxx280573824300,52
arepitasxxxx280573824300,54
arfrenchpizz282041826432,19
arfrenchpizz282041826432,26
arfrenchpizz282041826432,27
argentosital283036827025,48
argentosital283036827025,19
argentosital283881826707,19
arigatojapan280132827365,2
arigatojapan280723825066,2
arigatojapan280778825069,2
arigatosayon363014866925,2
aripekastone284355826666,48
arirangkorea278876824936,32
arirangkorea278876824936,48
arirangkorea278876824936,3
arispancakeh395844861027,37
arkanealewor279167827603,48
armanisxxxxx279654825501,19
armaturework279612824637,48
armettasgela277667823934,48
arnisxxxxxxx395993861583,26
arnisxxxxxxx395993861583,19
aroithaitsuy281691823528,10
aroithaitsuy281691823528,4
aromaindianc279164827919,7
aromajoesxxx282593824737,48
aroundthewor279491824598,48
arroythaixxx282389823621,48
arroythaixxx282389823621,10
arroythaixxx282389823621,4
arroythaixxx282389823621,28
artsmartcoff280217827890,48
asadosalcarb280150824857,47
asadosalcarb280150824857,48
asadosalcarb280150824857,17
asadosalcarb280150824857,19
asadosalcarb280150824857,52
asheramensaf280250824736,48
asheramensaf280250824736,13
ashleysnoodl299007900313,1
ashleysnoodl299007900313,5
ashleystreet279461824595,37
ashwortharti279513824600,48
asiaexpressx279610827748,1
asianabistro279345822880,1
asianabistro279345822880,2
asianabistro279345822880,10
asianabistro279345822880,4
asianbistroa280046825971,1
asianbistroa280046825971,10
asianbistrox399153753526,48
asianbistrox399153753526,10
asianbuffetx281827823508,1
asianbuffetx281827823508,28
asianchaoxxx281908823906,10
asiancuisine280315824269,1
asiancuisine280315824269,2
asiancuisine280315824269,10
asianfusionb277505824122,48
asianfusionb277505824122,1
asianfusionb277505824122,10
asianharborx396292861236,48
asianharborx396292861236,1
asianharborx396292861236,10
asiankitchen279377822531,1
asiankitchen279377822531,10
asiankitchen279449824640,48
asiankitchen279449824640,10
asiankitchen279449824640,4
asiankitchen279449824640,29
asiankitchen280512827362,1
asiankitchen280512827362,10
asianmarketc280615827398,48
asianpalacex279916823723,1
asianpearlxx279669827315,1
asianpearlxx279669827315,28
asianwokxxxx280532823928,1
asianyummyho277904823317,1
asianyummyho277904823317,2
asianyummyho277904823317,4
asiaticstree279606824416,10
asiaticstree279606824416,4
asimplerplac278555822843,48
aspirationsw279726827264,48
asterirestau281293827589,49
astoriacafex279427823237,49
astoriapastr279218828144,48
astroicecrea279611824639,48
atasteofmiam279646827792,48
atasteofmiam279646827792,28
atasteofmyis282312821803,18
atasteofmyis282312821803,19
atasteofmyis282312821803,52
atheniangard278550826464,49
atheniangard278880827637,49
athensrestau279906826894,49
atithixxxxxx281621823529,32
atithixxxxxx281621823529,47
atithixxxxxx281621823529,7
atlasgourmet280820826153,48
atlasgourmet280820826153,26
atlasgourmet280820826153,19
aubiramsaxxx279447824653,48
augustinesch278886825061,48
auntchiladas280886827395,14
auntieannesp279333823260,48
auntieannesx279471825271,48
auntieannesx279751825322,48
auntieannesx280173827345,48
auntieannesx280686825751,48
auntieannesx386368903481,48
auntieannesx399148753526,48
auntiessoulf279964824496,37
aussiegrillb279382823053,37
aussiegrillb279656825212,37
aussiegrillc279607827323,48
aussiegrillx279321823250,37
aussiegrillx281921823963,37
austincenter279540825228,37
austrianpepp279432825054,48
austrianpepp279432825054,20
austrianvill400812750895,20
authenticfam278940827313,6
avanzarexxxx279463824581,19
avapizzerian279608824638,26
avapizzerian279608824638,19
avaslowcount281395824612,37
avaxxxxxxxxx279362824828,48
avaxxxxxxxxx279362824828,26
avaxxxxxxxxx279362824828,19
averagejoesb279167827141,37
aviatorstave278951826824,48
avidbrewcomp277704826572,48
avilastipico280329824685,52
awfulwafflex279646825206,48
awrestaurant279198827881,37
awrestaurant280540824400,37
awrestaurant283204826998,37
awrestaurant284682826194,37
awsumsnoball396053861065,48
awxxxxxxxxxx278396827389,37
ayokijapanxx281838824365,2
ayokijapanxx281838824365,47
ayokijapanxx281838824365,48
ayokijapanxx281838824365,28
ayokijapanxx281838824365,29
aztecarojoxx279845825688,14
aztecaxxxxxx284655826195,14
azultacoxxxx281275825331,48
azultacoxxxx281275825331,14
babaoncentra277713826701,49
babaoncentra277713826701,9
babatcheafri278205827208,13
babbaluciris279097825270,19
babbositalia278952827116,19
babespizzaxx279385822935,26
babushkastem280610823927,19
babushkastem280610823927,20
babushkastem280610823927,21
babylunaxxxx398611751247,26
babylunaxxxx398611751247,19
bacchuswineb277733826332,48
bacchuswineb277733826332,19
baccoandvene280288823933,19
baciristoran403247750619,19
baciristoran403247750619,27
backbarxxxxx278928826606,37
backdraughts281463827558,48
backdraughts281463827558,26
backfinbluec277406827081,48
backfinbluec277406827081,28
backyardgril278927824936,37
baconbitchxx277708826506,37
baconbossxxx279552824563,48
badasscoffee278335828339,48
badfinsfoodb279746828288,28
badfinsfoodb279746828288,14
badfinsfoodb279746828288,52
badwolfbargr299185900456,37
baesburgersg280379824515,27
bagelbinxxxx399207753234,48
bagelguysxxx280732827396,48
bageliciousa279588822789,48
bageliciousa282399823188,48
bagelicousxx398445751255,48
bagelqueenxx282886826771,48
bagelscoxxxx279440825059,48
bagelsgalore283317826940,48
bagelsplusxx280695824286,48
